Nº Ordem Compra;Seq.;Cód Serviço;DESCRIÇÃO PRODUTO OU SERVIÇO;Categoria do Serviço;Complemento da Descrição;Quantidade Pedida;U.M. O.C.;Valor do Rateio;Fornecedor;Fantasia Fornecedor;Projeto;Descr. Projeto;Fase;Descr. Fase;Conta Financeira;Conta Contábil;Usuário Comprador;Setor;Emissão;Consta na base de NF;Lançamentos NF na base (OC+item);Valor Rateio total (OC+item);Valor NF na base (OC+item);Diferença NF - Rateio (OC+item)
33236;14;0323;HOSPEDAGEM DUPLO;HOSPEDAGEM DUPLO;HOSPEDAGEM DUPLO;1,0;SV;138,0;16015603;HOTEL VITORIA LTDA;30030;CYRELA - COUPÉ TOWER;4;Estaca Escavada;2650;3235;Rafael Moura   Matricula 1205 Geofix;Lama;2025-11-04 00:00:00;Sim;8;6900,0;6900,0;0,0
33236;15;0323;HOSPEDAGEM DUPLO;HOSPEDAGEM DUPLO;HOSPEDAGEM DUPLO;16,0;SV;2208,0;16015603;HOTEL VITORIA LTDA;30030;CYRELA - COUPÉ TOWER;4;Estaca Escavada;2650;3235;Rafael Moura   Matricula 1205 Geofix;Lama;2025-11-04 00:00:00;Sim;8;6900,0;6900,0;0,0
33236;16;0322;HOSPEDAGEM SINGLE;HOSPEDAGEM SINGLE;HOSPEDAGEM SINGLE;3,0;SV;294,0;16015603;HOTEL VITORIA LTDA;30030;CYRELA - COUPÉ TOWER;4;Estaca Escavada;2650;3235;Rafael Moura   Matricula 1205 Geofix;Lama;2025-11-04 00:00:00;Sim;12;6664,0;6664,0;0,0
33236;17;0322;HOSPEDAGEM SINGLE;HOSPEDAGEM SINGLE;HOSPEDAGEM SINGLE;1,0;SV;98,0;16015603;HOTEL VITORIA LTDA;30030;CYRELA - COUPÉ TOWER;4;Estaca Escavada;2650;3235;Rafael Moura   Matricula 1205 Geofix;Lama;2025-11-04 00:00:00;Sim;12;6664,0;6664,0;0,0
33236;18;0329;CONSUMÍVEIS DE HOSPEDAGENS;CONSUMÍVEIS DE HOSPEDAGENS;CONSUMÍVEIS DE HOSPEDAGENS;224,0;SV;896,0;16015603;HOTEL VITORIA LTDA;30030;CYRELA - COUPÉ TOWER;4;Estaca Escavada;2650;3235;Rafael Moura   Matricula 1205 Geofix;Lama;2025-11-04 00:00:00;Sim;2;896,0;896,0;0,0
33252;1;0004;LOCAÇÃO DE CONTAINER;LOCAÇÃO DE CONTAINER;LOCAÇÃO DE CONTAINER MLT C040020;1,0;LOC;540,0;16161733;MULTITEINER COMÉRCIO E LOCAÇÃO DE CONTEINERES LTDA;30030;CYRELA - COUPÉ TOWER;4;Estaca Escavada;1344;3227;Rafael Moura   Matricula 1205 Geofix;Lama;2025-11-06 00:00:00;Sim;1;540,0;540,0;0,0
33258;1;0025;SERVIÇO DE LAVANDERIA;SERVIÇO DE LAVANDERIA;SERVIÇO DE LAVANDERIA. PERÍODO: 16/10 A 27/10/25.;1,0;SV;2124,0;17162191;SUZANA TELES DA SILVA MOURA;30030;CYRELA - COUPÉ TOWER;4;Estaca Escavada;1323;3043;Rafael Moura   Matricula 1205 Geofix;Lama;2025-11-07 00:00:00;Sim;2;2124,0;2124,0;0,0
33264;1;0006;LOCAÇÃO DE VEÍCULO;LOCAÇÃO DE VEÍCULO;LOCAÇÃO DE VEÍCULO - LUIZ PICCOLO;1,0;LOC;2933,97;16013061;R3 VIAGENS TURISMO E EVENTOS;30018;ACRY - OSCAR PORTO;6;Tirantes;2160;3058;Giovanna Rosa Matricula 3241 Geofix;Tirantes;2025-11-10 00:00:00;Sim;4;15618,72;15618,720000000001;1,8189894035458565e-12
33264;2;0322;HOSPEDAGEM SINGLE;HOSPEDAGEM SINGLE;HOSPEDAGEM SINGLE - JULIÃO DE SOUZA;5,0;SV;1350,0;16013061;R3 VIAGENS TURISMO E EVENTOS;30018;ACRY - OSCAR PORTO;6;Tirantes;2650;3235;Giovanna Rosa Matricula 3241 Geofix;Tirantes;2025-11-10 00:00:00;Sim;1;1350,0;1350,0;0,0
33264;3;0328;HOSPEDAGEM QUADRUPLO;HOSPEDAGEM QUADRUPLO;HOSPEDAGEM QUADRUPLO - GUSTAVO DALTON;5,0;SV;667,5;16013061;R3 VIAGENS TURISMO E EVENTOS;10046;;1;Hélice Contínua;2650;3235;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-10 00:00:00;Sim;4;2670,0;2670,0;0,0
